Country,A,P_0,L,W,N
Barbados,24,0.24,91,60,0.37
Philippines,104,28,75,51,0.37
Taiwan Province,14,12,54,52,0.39
Jamaica,45,1.7,77,54,0.4
Trinidad and Tobago,36,0.89,74,54,0.4
Netherlands Antilles,22,0.2,12,51,0.42
Panama,42,1.2,66,53,0.44
Nicaragua,42,1.5,38,52,0.49
El Salvador,52,2.5,39,56,0.5
Guatemala,55,4,29,55,0.5
Ecuador,72,4.6,56,54,0.51
Puerto Rico,64,2.4,81,52,0.51
Singapore,51,1.8,50,55,0.51
Australia,124,11,98,61,0.52
Costa Rica,57,1.4,79,51,0.55
New Zealand,80,2.6,98,58,0.56
Dominican Republic,74,3.6,60,53,0.56
Paraguay,60,1.8,66,51,0.56
South Korea,175,26,71,55,0.62
Netherlands,150,12,98,61,0.62
Sarawak,36,0.82,21,52,0.64
Mozambique,27,6.6,1,57,0.64
Angola,34,4.8,2.5,58,0.66
Argentina,192,22,86,65,0.66
Malawi,55,3.5,16,52,0.66
Cyprus,50,0.59,60,59,0.67
Guyana,53,0.62,74,52,0.67
Honduras,64,2,44,49,0.67
Pakistan,156,94,13,52,0.67
Cameroon,50,4.5,7,64,0.68
Liberia,41,2.5,7.5,56,0.69
Portugal,130,9.1,56,63,0.7
Uganda,92,7.2,28,56,0.7
Uruguay,99,2.6,81,67,0.7
USA,435,191,98,60,0.72
Rhodesia,65,4.2,16,52,0.73
Luxembourg,56,0.33,96,70,0.73
Chile,147,8.2,80,58,0.74
Laos,59,2.6,18,57,0.74
Rwanda,47,3,1.5,56,0.74
Haiti,58,3.7,10,58,0.76
Mexico,210,40,50,52,0.76
Czechoslovakia,200,14,98,64,0.71
Congo (Kinsasha),137,14,38,54,0.77
Austria,165,7,98,67,0.79
Cambodia,82,5.9,18,53,0.8
Ceylon,157,11,63,57,0.8
Chad,75,2.8,2.5,56,0.81
Madagascar,107,6,34,57,0.81
Malta,50,0.33,58,56,0.84
Thailand,240,30,68,55,0.85
Israel,120,2.5,94,59,0.85
South Africa,170,16,42,58,0.85
Colombia,190,15,62,54,0.87
Indonesia,238,97,18,60,0.87
Jordan,60,1.9,18,49,0.88
Norway,150,3.7,98,63,0.9
Kuwait,50,0.4,30,62,0.91
Malaysia,144,9.1,38,53,0.93
Zambia,79,3.6,16,54,0.93
Belgium,212,9.3,97,64,0.94
Canada,264,19,98,59,0.94
Bolivia,102,3.5,32,56,0.94
Japan,467,94,98,64,0.95
Tunisia,90,4.3,17,55,0.96
Ireland,144,2.8,98,59,0.97
Ghana,114,6.7,23,52,0.98
Denmark,179,4.6,98,64,1
Iceland,60,0.19,98,57,1
Peru,182,12,47,53,1
Switzerland,200,5.6,98,66,1.03
Lebanon,99,1.8,48,57,1.04
Dahomey,42,2.2,2.5,61,1.06
Venezuela,179,8.4,52,55,1.06
India,510,461,19,59,1.08
Sweden,231,7.6,98,66,1.08
Burundi,64,2.4,7.5,56,1.09
Togo,56,1.5,7.5,56,1.11
Mauritius,70,0.46,52,53,1.11
Finland,200,4.6,98,63,1.12
Brazil,404,79,49,56,1.15
Sierra Leone,66,2.2,7.5,56,1.16
West Germany,500,58,98,68,1.17
Mauritania,40,1.2,2.5,64,1.18
USSR,750,226,95,57,1.2
Morocco,144,12,13,55,1.23
France,480,48,96,62,1.24
Central African Republic,50,1.8,2.5,60,1.32
Iran,200,21,15,54,1.34
Niger,60,3.1,2.5,56,1.35
Poland,460,31,95,62,1.38
Greece,300,8.4,80,66,1.45
Libya,91,1.6,13,56,1.48
Hungary,349,10,97,66,1.5
Upper Volta,75,4.4,2.5,56,1.51
Nepal,125,9.5,5,58,1.52
East Germany,434,17,98,65,1.55
United Kingdom,630,52,98,65,1.55
Mali,80,4.3,2.5,63,1.56
Italy,630,52,88,66,1.61
Romania,465,19,89,66,1.65
Guinea,75,3.1,2.5,54,1.71
Nigeria,312,56,10,52,1.73
Albania,182,1.7,60,55,1.75
Ivory Coast,85,3.8,2.5,55,1.81
Gabon,41,0.5,2.5,68,1.82
Spain,600,30,87,64,1.86
Egypt,350,28,20,59,1.87
Senegal,80,3,2.5,52,1.87
Congo (Brazzaville),55,0.8,2.5,59,1.92
Turkey,450,29,39,57,1.92
Bulgaria,416,8.1,85,66,1.99
Tanzania,189,10,7.5,56,2
Aden-South Yemen,94,1.2,5,64,2.2
Sudan,233,13,9,51,2.2
Ethiopia,210,20,2.5,56,2.5
Afghanistan,217,15,2.5,56,2.9
Mongolia,287,1,58,64,3.1
China,3040,705,47,60,4.1
